text,drug,effect,indexes
Apparent cyclophosphamide (cytoxan) embryopathy: a distinct phenotype?,cyclophosphamide,embryopathy,"{'drug': {'start_char': [9], 'end_char': [25]}, 'effect': {'start_char': [36], 'end_char': [47]}}"
The purpose of this report is to document a new case of in utero CP exposure with multiple congenital anomalies and to establish an apparent CP embryopathy phenotype.,CP,embryopathy,"{'drug': {'start_char': [65, 141], 'end_char': [67, 143]}, 'effect': {'start_char': [144], 'end_char': [155]}}"
The purpose of this report is to document a new case of in utero CP exposure with multiple congenital anomalies and to establish an apparent CP embryopathy phenotype.,CP,multiple congenital anomalies,"{'drug': {'start_char': [65, 141], 'end_char': [67, 143]}, 'effect': {'start_char': [82], 'end_char': [111]}}"
"The reported cases of in utero exposure to cyclosposphamide shared the following manifestations with our patient: growth deficiency, developmental delay, craniosynostosis, blepharophimosis, flat nasal bridge, abnormal ears, and distal limb defects including hypoplastic thumbs and oligodactyly.",cyclosposphamide,blepharophimosis,"{'drug': {'start_char': [43], 'end_char': [59]}, 'effect': {'start_char': [172], 'end_char': [188]}}"
"The reported cases of in utero exposure to cyclosposphamide shared the following manifestations with our patient: growth deficiency, developmental delay, craniosynostosis, blepharophimosis, flat nasal bridge, abnormal ears, and distal limb defects including hypoplastic thumbs and oligodactyly.",cyclosposphamide,craniosynostosis,"{'drug': {'start_char': [43], 'end_char': [59]}, 'effect': {'start_char': [154], 'end_char': [170]}}"
"The reported cases of in utero exposure to cyclosposphamide shared the following manifestations with our patient: growth deficiency, developmental delay, craniosynostosis, blepharophimosis, flat nasal bridge, abnormal ears, and distal limb defects including hypoplastic thumbs and oligodactyly.",cyclosposphamide,developmental delay,"{'drug': {'start_char': [43], 'end_char': [59]}, 'effect': {'start_char': [133], 'end_char': [152]}}"
"The reported cases of in utero exposure to cyclosposphamide shared the following manifestations with our patient: growth deficiency, developmental delay, craniosynostosis, blepharophimosis, flat nasal bridge, abnormal ears, and distal limb defects including hypoplastic thumbs and oligodactyly.",cyclosposphamide,distal limb defects,"{'drug': {'start_char': [43], 'end_char': [59]}, 'effect': {'start_char': [228], 'end_char': [247]}}"
"The reported cases of in utero exposure to cyclosposphamide shared the following manifestations with our patient: growth deficiency, developmental delay, craniosynostosis, blepharophimosis, flat nasal bridge, abnormal ears, and distal limb defects including hypoplastic thumbs and oligodactyly.",cyclosposphamide,flat nasal bridge,"{'drug': {'start_char': [43], 'end_char': [59]}, 'effect': {'start_char': [190], 'end_char': [207]}}"
"The reported cases of in utero exposure to cyclosposphamide shared the following manifestations with our patient: growth deficiency, developmental delay, craniosynostosis, blepharophimosis, flat nasal bridge, abnormal ears, and distal limb defects including hypoplastic thumbs and oligodactyly.",cyclosposphamide,hypoplastic thumbs,"{'drug': {'start_char': [43], 'end_char': [59]}, 'effect': {'start_char': [258], 'end_char': [276]}}"
"The reported cases of in utero exposure to cyclosposphamide shared the following manifestations with our patient: growth deficiency, developmental delay, craniosynostosis, blepharophimosis, flat nasal bridge, abnormal ears, and distal limb defects including hypoplastic thumbs and oligodactyly.",cyclosposphamide,oligodactyly,"{'drug': {'start_char': [43], 'end_char': [59]}, 'effect': {'start_char': [281], 'end_char': [293]}}"
"We conclude that (a) cyclophosphamide is a human teratogen, (b) a distinct phenotype exists, and (c) the safety of CP in pregnancy is in serious question.",cyclophosphamide,human teratogen,"{'drug': {'start_char': [21], 'end_char': [37]}, 'effect': {'start_char': [43], 'end_char': [58]}}"
"In all cases, seizures were controlled by withdrawal of phenytoin and reduction of drug levels.",phenytoin,seizures,"{'drug': {'start_char': [56], 'end_char': [65]}, 'effect': {'start_char': [14], 'end_char': [22]}}"
Paradoxical seizures in phenytoin toxicity.,phenytoin,seizures,"{'drug': {'start_char': [24], 'end_char': [33]}, 'effect': {'start_char': [12], 'end_char': [20]}}"
"We present three patients with paradoxical seizures; their serum phenytoin levels were 43.5 mcg/mL, 46.5 mcg/mL and 38.3 mcg/mL.",phenytoin,seizures,"{'drug': {'start_char': [65], 'end_char': [74]}, 'effect': {'start_char': [43], 'end_char': [51]}}"
CONCLUSIONS: This case suggests that losartan can induce late-onset angioedema in patients with normal renal function and that the reaction can recur after initial resolution of the symptoms.,losartan,angioedema,"{'drug': {'start_char': [37], 'end_char': [45]}, 'effect': {'start_char': [68], 'end_char': [78]}}"
Losartan-induced angioedema.,Losartan,angioedema,"{'drug': {'start_char': [0], 'end_char': [8]}, 'effect': {'start_char': [17], 'end_char': [27]}}"
OBJECTIVE: To report a case of angioedema associated with losartan administration.,losartan,angioedema,"{'drug': {'start_char': [58], 'end_char': [66]}, 'effect': {'start_char': [31], 'end_char': [41]}}"
"The incidence of angioedema secondary to losartan, an angiotensin II receptor antagonist, is unknown.",losartan,angioedema,"{'drug': {'start_char': [41], 'end_char': [49]}, 'effect': {'start_char': [17], 'end_char': [27]}}"
We report the case of a female acromegalic patient in whom multiple hepatic adenomas appeared soon after danazol treatment for uterine fibromatosis.,danazol,hepatic adenomas,"{'drug': {'start_char': [105], 'end_char': [112]}, 'effect': {'start_char': [68], 'end_char': [84]}}"
Heparin-induced thrombocytopenia is a rare and serious complication of anticoagulation therapy.,Heparin,thrombocytopenia,"{'drug': {'start_char': [0], 'end_char': [7]}, 'effect': {'start_char': [16], 'end_char': [32]}}"
Pediatric heparin-induced thrombocytopenia: management with Danaparoid (orgaran).,heparin,thrombocytopenia,"{'drug': {'start_char': [10], 'end_char': [17]}, 'effect': {'start_char': [26], 'end_char': [42]}}"
"There remains a paucity of information pertaining to alternative anticoagulation strategies for use during cardiopulmonary bypass concomitant with heparin-induced thrombocytopenia, especially in children.",heparin,thrombocytopenia,"{'drug': {'start_char': [147], 'end_char': [154]}, 'effect': {'start_char': [163], 'end_char': [179]}}"
We report the successful treatment of heparin-induced thrombocytopenia and subsequent hemorrhagic complications postoperatively in a 2-year-old child with Danaparoid (orgaran).,heparin,hemorrhagic complications,"{'drug': {'start_char': [38], 'end_char': [45]}, 'effect': {'start_char': [86], 'end_char': [111]}}"
We report the successful treatment of heparin-induced thrombocytopenia and subsequent hemorrhagic complications postoperatively in a 2-year-old child with Danaparoid (orgaran).,heparin,thrombocytopenia,"{'drug': {'start_char': [38], 'end_char': [45]}, 'effect': {'start_char': [54], 'end_char': [70]}}"
Taxane-induced glaucoma.,Taxane,glaucoma,"{'drug': {'start_char': [0], 'end_char': [6]}, 'effect': {'start_char': [15], 'end_char': [23]}}"
We report a case of glaucoma induced by doxetaxel therapy for metastatic breast cancer.,doxetaxel,glaucoma,"{'drug': {'start_char': [40], 'end_char': [49]}, 'effect': {'start_char': [20], 'end_char': [28]}}"
Acute hyperphosphatemia caused by sodium phosphate enema in a patient with liver dysfunction and chronic renal failure.,sodium phosphate,hyperphosphatemia,"{'drug': {'start_char': [34], 'end_char': [50]}, 'effect': {'start_char': [6], 'end_char': [23]}}"
We report a case of acute hyperphosphatemia secondary to rectal administration of sodium phosphate and sodium biphosphate (Fleet enema).,sodium biphosphate,hyperphosphatemia,"{'drug': {'start_char': [103], 'end_char': [121]}, 'effect': {'start_char': [26], 'end_char': [43]}}"
We report a case of acute hyperphosphatemia secondary to rectal administration of sodium phosphate and sodium biphosphate (Fleet enema).,sodium phosphate,hyperphosphatemia,"{'drug': {'start_char': [82], 'end_char': [98]}, 'effect': {'start_char': [26], 'end_char': [43]}}"
Prolongation of the QT interval and ventricular tachyarrhymias have been described in patients on amiodarone therapy.,amiodarone,Prolongation of the QT interval,"{'drug': {'start_char': [98], 'end_char': [108]}, 'effect': {'start_char': [0], 'end_char': [31]}}"
Prolongation of the QT interval and ventricular tachyarrhymias have been described in patients on amiodarone therapy.,amiodarone,ventricular tachyarrhymias,"{'drug': {'start_char': [98], 'end_char': [108]}, 'effect': {'start_char': [36], 'end_char': [62]}}"
We report a case of recurrent torsades de pointes following treatment with pentavalent antimonial drugs and amiodarone.,amiodarone,torsades de pointes,"{'drug': {'start_char': [108], 'end_char': [118]}, 'effect': {'start_char': [30], 'end_char': [49]}}"
Emphasis is given to the differentiation of diphenylhydantoin induced gingival hyperplasia from the angiomatous enlargement of the gingiva before any treatment is planned.,diphenylhydantoin,gingival hyperplasia,"{'drug': {'start_char': [44], 'end_char': [61]}, 'effect': {'start_char': [70], 'end_char': [90]}}"
"A 66-year-old Japanese woman with severe scleroderma developed anemia and thrombocytopenia due to D-penicillamine (D-Pen) treatment, although the leukopenia was not markedly severe.",D-Pen,anemia,"{'drug': {'start_char': [115], 'end_char': [120]}, 'effect': {'start_char': [63], 'end_char': [69]}}"
"A 66-year-old Japanese woman with severe scleroderma developed anemia and thrombocytopenia due to D-penicillamine (D-Pen) treatment, although the leukopenia was not markedly severe.",D-penicillamine,anemia,"{'drug': {'start_char': [98], 'end_char': [113]}, 'effect': {'start_char': [63], 'end_char': [69]}}"
"A 66-year-old Japanese woman with severe scleroderma developed anemia and thrombocytopenia due to D-penicillamine (D-Pen) treatment, although the leukopenia was not markedly severe.",D-Pen,thrombocytopenia,"{'drug': {'start_char': [115], 'end_char': [120]}, 'effect': {'start_char': [74], 'end_char': [90]}}"
"A 66-year-old Japanese woman with severe scleroderma developed anemia and thrombocytopenia due to D-penicillamine (D-Pen) treatment, although the leukopenia was not markedly severe.",D-penicillamine,thrombocytopenia,"{'drug': {'start_char': [98], 'end_char': [113]}, 'effect': {'start_char': [74], 'end_char': [90]}}"
Cessation of D-Pen and the start of corticosteroid therapy were followed by recovery from bicytopenia.,D-Pen,bicytopenia,"{'drug': {'start_char': [13], 'end_char': [18]}, 'effect': {'start_char': [90], 'end_char': [101]}}"
In vitro inhibition of hematopoiesis in a patient with systemic sclerosis treated with D-penicillamine.,D-penicillamine,inhibition of hematopoiesis,"{'drug': {'start_char': [87], 'end_char': [102]}, 'effect': {'start_char': [9], 'end_char': [36]}}"
These findings suggest that bicytopenia in this patient was caused by D-Pen and may be due to different sensitivities in the hematopoietic lineage.,D-Pen,bicytopenia,"{'drug': {'start_char': [70], 'end_char': [75]}, 'effect': {'start_char': [28], 'end_char': [39]}}"
A 48-year-old woman who was treated for thyrotoxicosis with methimazole developed agranulocytosis.,methimazole,agranulocytosis,"{'drug': {'start_char': [60], 'end_char': [71]}, 'effect': {'start_char': [82], 'end_char': [97]}}"
Postoperative hypocalcemic tetany caused by fleet phospho-soda preparation in a patient taking alendronate sodium: report of a case.,alendronate sodium,hypocalcemic tetany,"{'drug': {'start_char': [95], 'end_char': [113]}, 'effect': {'start_char': [14], 'end_char': [33]}}"
Postoperative hypocalcemic tetany caused by fleet phospho-soda preparation in a patient taking alendronate sodium: report of a case.,fleet phospho-soda,hypocalcemic tetany,"{'drug': {'start_char': [44], 'end_char': [62]}, 'effect': {'start_char': [14], 'end_char': [33]}}"
